--- D1 Data ---
Feature1	Feature2	Label
2.773679	1.759865	0.000000
3.464832	3.104079	0.000000
2.100730	2.261926	0.000000
1.489174	2.760904	0.000000
1.947464	2.214487	0.000000
2.390370	1.986899	0.000000
1.683416	2.343836	0.000000
3.605251	2.210101	0.000000
2.532438	3.059256	0.000000
2.728222	2.945447	0.000000
0.488276	0.924721	0.000000
3.605916	3.817451	0.000000
2.607042	2.466323	0.000000
2.964310	3.094500	0.000000
1.468938	1.156644	0.000000
3.563317	2.794046	0.000000
0.614374	0.483589	0.000000
2.368618	2.858241	0.000000
2.781519	2.519280	0.000000
2.855725	3.061299	0.000000
1.550906	2.448100	0.000000
2.316236	1.932797	0.000000
2.848069	3.136156	0.000000
2.747297	2.654351	0.000000
2.100452	3.041337	0.000000
3.439165	2.392636	0.000000
2.134972	1.904924	0.000000
2.170184	2.637934	0.000000
1.333068	1.644112	0.000000
0.716149	0.283716	0.000000
1.312724	0.923408	0.000000
2.522418	0.745601	0.000000
2.379907	2.713708	0.000000
1.254854	1.184404	0.000000
2.624235	3.251084	0.000000
1.236439	0.034717	0.000000
1.796074	2.099651	0.000000
2.160610	1.204182	0.000000
1.727981	1.788396	0.000000
1.974117	2.515867	0.000000
1.352147	1.085854	0.000000
1.005754	0.332948	0.000000
0.583772	-0.105917	0.000000
1.102405	0.413516	0.000000
1.196467	1.792125	0.000000
2.261166	2.776532	0.000000
2.904946	2.601109	0.000000
1.745614	1.869091	0.000000
1.335291	1.768080	0.000000
-0.650276	-0.070628	0.000000
1.868285	1.879509	0.000000
1.890189	2.098289	0.000000
1.937538	3.045330	0.000000
2.024877	1.459283	0.000000
2.368658	2.918387	0.000000
1.887986	1.490575	0.000000
3.057477	2.486122	0.000000
1.767361	1.553022	0.000000
3.242989	3.527443	0.000000
4.405310	3.935180	0.000000
0.491949	0.966225	0.000000
4.138977	3.657932	0.000000
2.507251	3.091609	0.000000
1.312287	2.160353	0.000000
1.243994	1.619835	0.000000
3.109018	2.763263	0.000000
2.916539	1.988809	0.000000
0.783463	1.001310	0.000000
3.331854	3.904646	0.000000
2.563750	3.011051	0.000000
2.931386	2.191126	0.000000
3.574175	2.499414	0.000000
3.269972	2.099663	0.000000
1.966950	1.368504	0.000000
2.208049	2.381675	0.000000
3.721012	2.598292	0.000000
1.202829	-0.020475	0.000000
2.696850	2.941225	0.000000
1.852502	1.568136	0.000000
2.757402	3.511315	0.000000
1.548917	1.483313	0.000000
1.851860	2.417618	0.000000
0.885891	0.954276	0.000000
1.729717	2.179342	0.000000
3.526535	4.597694	0.000000
3.103655	2.981785	0.000000
1.555355	1.450176	0.000000
0.278763	1.591750	0.000000
1.721860	2.190317	0.000000
1.106970	1.877982	0.000000
2.045500	1.953069	0.000000
2.184764	2.253606	0.000000
1.510316	0.786442	0.000000
1.400844	1.290809	0.000000
2.880109	1.691372	0.000000
2.508453	3.154730	0.000000
2.056963	3.010082	0.000000
3.308864	2.394263	0.000000
2.176023	1.462878	0.000000
1.316841	1.948327	0.000000
6.642361	6.625148	1.000000
7.712352	8.019989	1.000000
6.698255	6.508910	1.000000
7.358676	6.959780	1.000000
6.822242	6.848577	1.000000
7.051376	7.324878	1.000000
6.377982	6.604588	1.000000
7.027290	6.877656	1.000000
6.247956	6.284141	1.000000
5.866745	6.240124	1.000000
5.528978	5.535782	1.000000
